text,text_clean,rating,sentiment
Sudah diterima paketnya...ya sesuai harga lah...semoga awet,sudah diterima paketnya ya sesuai harga lah semoga awet,3,Neutral
"Mantabs gan
Bukan kaleng kaleng",mantabs gan bukan kaleng kaleng,5,Positive
Barang sesuai deskripsi,barang sesuai deskripsi,5,Positive
Sesuai yg sya inginkan.. mantaaabb...,sesuai yg sya inginkan mantaaabb,5,Positive
utk tas seharga 299rb..kualitas biasa saja,utk tas seharga rb kualitas biasa saja,2,Negative
Cepat pengirimannya. Kualitas ok. Sendalnya ringan dipake. Jadi ga sakit,cepat pengirimannya kualitas ok sendalnya ringan dipake jadi ga sakit,5,Positive
sudah diterima dengan baik... thanks...,sudah diterima dengan baik thanks,5,Positive
pesen 37 dikirim no 36 tapi tetep cukup...barang bagus bahan ok next order lagi recomend lah belanja di lapak ini sip....,pesen dikirim no tapi tetep cukup barang bagus bahan ok next order lagi recomend lah belanja di lapak ini sip,5,Positive
Siiiiip lah...👍👍👍👍...sdh ke empat kali sy order barang di sini...semua okey...,siiiiip lah sdh ke empat kali sy order barang di sini semua okey,5,Positive
Kualitas bagus.. Puas dengan produk nya.. Pelayanan yg super cepat.. Tengkyuuu,kualitas bagus puas dengan produk nya pelayanan yg super cepat tengkyuuu,5,Positive
Mantaap gan...sesuai gbr...siiiiip,mantaap gan sesuai gbr siiiiip,5,Positive
"Produk bagus dan pas sesuai ukuran umum, mudah mudahan awet sampai tahunan..",produk bagus dan pas sesuai ukuran umum mudah mudahan awet sampai tahunan,5,Positive
"Produk sesuai deskripsi, ukuran pas n nyaman di kaki, thanks seller ....",produk sesuai deskripsi ukuran pas n nyaman di kaki thanks seller,5,Positive
"Produk Okkk Lahh,Pengiriman Agak Telat",produk okkk lahh pengiriman agak telat,5,Positive
Mantabbbb kualitas terbaik harga termurah...thankssss,mantabbbb kualitas terbaik harga termurah thankssss,5,Positive
Bagus semoga awet sendalnya dan belum dipake baru dicoba pas,bagus semoga awet sendalnya dan belum dipake baru dicoba pas,4,Positive
"Barangnya Ok, pengiriman sangat cepat sekali,",barangnya ok pengiriman sangat cepat sekali,5,Positive
Ketiga kalina beli disini dan tetep puas dg barangna.. makasih.. sukses terus..,ketiga kalina beli disini dan tetep puas dg barangna makasih sukses terus,5,Positive
"Deskripsi sesuai,barang mantap.semoga berkah",deskripsi sesuai barang mantap semoga berkah,5,Positive
Mantap recomended seller pokonyamah sumpah ga bohong,mantap recomended seller pokonyamah sumpah ga bohong,5,Positive
Alhamdulillah nyampe... Sesuai dgn deskripsinya ... Maksih sellernya ok bngt,alhamdulillah nyampe sesuai dgn deskripsinya maksih sellernya ok bngt,5,Positive
sesuai deskripsi semoga awet suskses trs lapaknya om,sesuai deskripsi semoga awet suskses trs lapaknya om,5,Positive
Trimakasih promonya mantap barangnya,trimakasih promonya mantap barangnya,5,Positive
Ok mantap diterima terima kasih,ok mantap diterima terima kasih,5,Positive
Terimakasih brg y sdh dtg sesuai pesanan bagus warna y,terimakasih brg y sdh dtg sesuai pesanan bagus warna y,5,Positive
"Barang bagusssss,trmksh.....",barang bagusssss trmksh,5,Positive
"Barang bagus, cepet sampai. Anak juga seneng.",barang bagus cepet sampai anak juga seneng,5,Positive
"Cepet banget padahal minta costum...

Dari dulu sejak jaman Kaskus tetep bagus... Walau Ane minta custom ketebelan ternyata. Kaya pake hak tinggi... 🙈🙈🙈

Setelah chat buat minta dirubah lagi biaya kirim &amp; kirbal Ane tanggung, hasil, proses pengerjaan dan pengiriman cepet ajib lah...

Kaga ada bintang 7 apa yak... 😆😆😆",cepet banget padahal minta costum dari dulu sejak jaman kaskus tetep bagus walau ane minta custom ketebelan ternyata kaya pake hak tinggi setelah chat buat minta dirubah lagi biaya kirim amp kirbal ane tanggung hasil proses pengerjaan dan pengiriman cepet ajib lah kaga ada bintang apa yak,5,Positive
Mntap mantap mantap mantap,mntap mantap mantap mantap,5,Positive
"Produk emang mantap, awet banget, terakhir saya beli 3thn yg lalu,,,",produk emang mantap awet banget terakhir saya beli thn yg lalu,5,Positive
Biarkan bintang berbicara,biarkan bintang berbicara,5,Positive
Kualitas produk sangat bagus,kualitas produk sangat bagus,5,Positive
The besttt recomend pisyaannn,the besttt recomend pisyaannn,5,Positive
Semoga cocok dengan langkah ini,semoga cocok dengan langkah ini,5,Positive
Goooooooooooooooooooooooood,goooooooooooooooooooooooood,5,Positive
sesuai dengan deskripsi produk  nyaman di pakai dan seller termasuk responsif,sesuai dengan deskripsi produk nyaman di pakai dan seller termasuk responsif,5,Positive
"Bagus, mutu bagus, nyaman dipakai",bagus mutu bagus nyaman dipakai,5,Positive
mantaaaaaaaaaaaaaaaaaaaaaaab,mantaaaaaaaaaaaaaaaaaaaaaaab,5,Positive
Baguuuuus bgt oke daaaaaaah,baguuuuus bgt oke daaaaaaah,5,Positive
Good job.  Recommended seller.  Thx,good job recommended seller thx,5,Positive
Barang sudah sampai. Kualitas dan warna oke sesuai dekripsi. Thanks seller.,barang sudah sampai kualitas dan warna oke sesuai dekripsi thanks seller,5,Positive
Bagus.. Anak saya suka.. Semoga awet,bagus anak saya suka semoga awet,5,Positive
"Barang OK banget,,, saya suka",barang ok banget saya suka,5,Positive
"Produk yg diterima mantap, kualitas import. Perfecto. Recommended banget.",produk yg diterima mantap kualitas import perfecto recommended banget,5,Positive
"Sesuai harapan, semoga awet. Terima kasih",sesuai harapan semoga awet terima kasih,5,Positive
"Keren kokoh
Terimakasih",keren kokoh terimakasih,5,Positive
Produk bagus nyaman di pakai.a..,produk bagus nyaman di pakai a,5,Positive
"Terima kasih, produk cakep, pengiriman cepat 👍",terima kasih produk cakep pengiriman cepat,5,Positive
Untung 44 size nya jadi pas banget top sangaaaat,untung size nya jadi pas banget top sangaaaat,5,Positive
Tttttoooooppppp bbbbbgggggttttt,tttttoooooppppp bbbbbgggggttttt,4,Positive
Kereenn...dpet flashsale lagi 👍,kereenn dpet flashsale lagi,5,Positive
SANGAT PUAS...!!! APALAGI BELI NYA PAS FLASH DEAL...,sangat puas apalagi beli nya pas flash deal,5,Positive
Barangnya bagus....enak dipakai ...sesuai deskripsi...trims,barangnya bagus enak dipakai sesuai deskripsi trims,5,Positive
"Design dan warna nya bagus... 
Enak d pakai...  Dan semoga awet sandal nya... 
Sukses buat lapaknya...",design dan warna nya bagus enak d pakai dan semoga awet sandal nya sukses buat lapaknya,5,Positive
ok banget lah... pembelian kedua,ok banget lah pembelian kedua,5,Positive
barang sesuai pesanannnnnn,barang sesuai pesanannnnnn,5,Positive
Barangnya bagus....top deh.....,barangnya bagus top deh,5,Positive
Keren sesuai pokonya mantep mantul hihihi,keren sesuai pokonya mantep mantul hihihi,5,Positive
Produk sesuai dengan deskripsi,produk sesuai dengan deskripsi,5,Positive
Original produk..........top bgt,original produk top bgt,5,Positive
"Ukuran dan model sesuai deskripsi,
Susah nyari nomer 45, rata2 ngasi caption size 45, tp diliat di deskripsinya ngga ada,,
Produknya bagus, packingnya juga mantap, keliatan keseriusan usahanya buat dagang dr packingan 😊",ukuran dan model sesuai deskripsi susah nyari nomer rata ngasi caption size tp diliat di deskripsinya ngga ada produknya bagus packingnya juga mantap keliatan keseriusan usahanya buat dagang dr packingan,5,Positive
Barangnya bagus....top deh.....,barangnya bagus top deh,5,Positive
"Pembelian kedua (pertama beli 1tahun lalu) produk saya buktikan kuat dan awet, tahan diajak basah basahan, tidak licin dipakai di segala Medan jalan. Harga murah menurut saya dengan kualitas yg di dapat (soalnya dapat diskon, tahun lalu saya beli belum ada diskon), value for money banget gaes..",pembelian kedua pertama beli tahun lalu produk saya buktikan kuat dan awet tahan diajak basah basahan tidak licin dipakai di segala medan jalan harga murah menurut saya dengan kualitas yg di dapat soalnya dapat diskon tahun lalu saya beli belum ada diskon value for money banget gaes,5,Positive
Brg uda diterima dan sesuai pesanan,brg uda diterima dan sesuai pesanan,4,Positive
mantap.................,mantap,5,Positive
"Ini mantul barang nya sudah di tukar pas dengan selera,, sukses dan selalu banyak yg beli ya gan...sabertooth mantul",ini mantul barang nya sudah di tukar pas dengan selera sukses dan selalu banyak yg beli ya gan sabertooth mantul,5,Positive
"Kualitas, design, dan warna keren. Body nyaman dan ngikutin kaki. Ga kecewa semoga awet. Tingkatkan terus ya sukses",kualitas design dan warna keren body nyaman dan ngikutin kaki ga kecewa semoga awet tingkatkan terus ya sukses,5,Positive
Di pake ccok banget di kaki .terima kasiih.,di pake ccok banget di kaki terima kasiih,5,Positive
"Sesuai,kwalitasnya bagus n anak sy pun suka banget sm sendal gunungnya n pas banget ada warna ungu talinya jrg ada jg nih...tq",sesuai kwalitasnya bagus n anak sy pun suka banget sm sendal gunungnya n pas banget ada warna ungu talinya jrg ada jg nih tq,5,Positive
Bagus sandal nyh trmksh bos,bagus sandal nyh trmksh bos,4,Positive
Makasih banyakkk barang sudah sampaii,makasih banyakkk barang sudah sampaii,5,Positive
"Brgnya OK, nyaman dipakai.. Trims Sabertooth. Semoga brgnya awet yah..",brgnya ok nyaman dipakai trims sabertooth semoga brgnya awet yah,5,Positive
"mantap sendal nya,.. tapi,..  warna list ungu nya kurang tebel bgt,..  ini warna nya ngejreng alias terang,.. 
tapi pas bnr warna n ukuran nya,.. 
thanks sabertooth,..",mantap sendal nya tapi warna list ungu nya kurang tebel bgt ini warna nya ngejreng alias terang tapi pas bnr warna n ukuran nya thanks sabertooth,5,Positive
reapon cepat kualitas sendal bagus nyaman di kaki,reapon cepat kualitas sendal bagus nyaman di kaki,5,Positive
"barang sesuai dengan pesenan,",barang sesuai dengan pesenan,4,Positive
"bagus sendal nya. suami saya suka, warna nya ngejreng. hihihi",bagus sendal nya suami saya suka warna nya ngejreng hihihi,5,Positive
"nyaman dipakai,..terimankasih sdh smp sesuai pesanan",nyaman dipakai terimankasih sdh smp sesuai pesanan,5,Positive
"Sol sandalnya sangat tebal dan kokoh, hanya agak berat dikaki dan talinya pun agak tipis. Jadi saat kaki diangkat utk berjalan, serasa menarik barang berat dengan tali yang kecil. Mungkin talinya bisa dibuat lbh tebal spy pas dgn sol tebalnya. Thx.",sol sandalnya sangat tebal dan kokoh hanya agak berat dikaki dan talinya pun agak tipis jadi saat kaki diangkat utk berjalan serasa menarik barang berat dengan tali yang kecil mungkin talinya bisa dibuat lbh tebal spy pas dgn sol tebalnya thx,4,Positive
Produk original buat An Indonesia cintai lah produksi Indonesia... Produk original 100%,produk original buat an indonesia cintai lah produksi indonesia produk original,5,Positive
Asshhiiapp mantapp bosskyuuu,asshhiiapp mantapp bosskyuuu,5,Positive
Sangat baik. Recommended seller 👍🏽,sangat baik recommended seller,5,Positive
manteb recomended seller. akhirnya menemukan ukuran sandal yang ukurannya gede 47. kalau bisa buat sampai ukuran 50 gan. karena banyak di luar sana yg kakinya gede kesulitan cari alas kaki 😂😂,manteb recomended seller akhirnya menemukan ukuran sandal yang ukurannya gede kalau bisa buat sampai ukuran gan karena banyak di luar sana yg kakinya gede kesulitan cari alas kaki,5,Positive
"Pokok na mah Sabertooth mantap fast respon dan recomended seller, barang jga mantaf",pokok na mah sabertooth mantap fast respon dan recomended seller barang jga mantaf,5,Positive
"Fast respon, pengiriman cepat, produk &amp; kualitas bagus. Trims",fast respon pengiriman cepat produk amp kualitas bagus trims,5,Positive
"Untuk kualitasnya Ok, terima kasih",untuk kualitasnya ok terima kasih,5,Positive
Barang Sudah Sampai Sesuai Gambar Terima Kasih ....Sandalnya Jga Ringan Bngt Nya....!!!!!,barang sudah sampai sesuai gambar terima kasih sandalnya jga ringan bngt nya,4,Positive
Motifnya tidak seperti yang ada d gambar.. kecewa,motifnya tidak seperti yang ada d gambar kecewa,2,Negative
"terima kasih, barang sudah sampai",terima kasih barang sudah sampai,5,Positive
"Barang sesuai, kualitas Bagus, fast resp, recommended",barang sesuai kualitas bagus fast resp recommended,5,Positive
Thanks gan barang ud sampe,thanks gan barang ud sampe,5,Positive
Paket sudah diterima dan sandal sudah dipake.. sesuai deskripsi.. terimakasih,paket sudah diterima dan sandal sudah dipake sesuai deskripsi terimakasih,5,Positive
Fast respon and sangat memuaskan,fast respon and sangat memuaskan,5,Positive
"Sesuai pesanan, pengiriman cepat sesuau jadwal. Top Markotop",sesuai pesanan pengiriman cepat sesuau jadwal top markotop,5,Positive
mantap lah terbaik..............,mantap lah terbaik,5,Positive
kwalitas okk top banget,kwalitas okk top banget,5,Positive
Biar bintang Yang berbicara......,biar bintang yang berbicara,5,Positive
"Mantabs, sandal sesuai ukuran, warna dan kualitas. Well done",mantabs sandal sesuai ukuran warna dan kualitas well done,5,Positive
pas mantappppp ukuran dan kualitas nya sesuai dengan keinginan,pas mantappppp ukuran dan kualitas nya sesuai dengan keinginan,5,Positive
"Puas, gan... cuma sayangnya agak kekecilan, padahal ukuran itu yang biasa saya pake.",puas gan cuma sayangnya agak kekecilan padahal ukuran itu yang biasa saya pake,4,Positive
Pembelian kedua...Good sesuai iklan...sandal empuk dan nyaman..😁,pembelian kedua good sesuai iklan sandal empuk dan nyaman,5,Positive
"Produk dah keterima. Mantappp pokok na mah...... Bakal beli lg next time 😋 
* berbicara 👍",produk dah keterima mantappp pokok na mah bakal beli lg next time berbicara,5,Positive
Terbaik lah udah yang ke 2x belanja dan selalu puas,terbaik lah udah yang ke x belanja dan selalu puas,5,Positive
"Lumayan bagus, mudah2an awet",lumayan bagus mudah an awet,4,Positive
barang bagus sesuai diskripsi meskipun ada kendala sedikit tp dpt terselesaikan dgn cepat dan recommed seller,barang bagus sesuai diskripsi meskipun ada kendala sedikit tp dpt terselesaikan dgn cepat dan recommed seller,5,Positive
Fast respon. Packing rapih. Trima kasih,fast respon packing rapih trima kasih,5,Positive
Barangnya masyaallah... Bagus bener,barangnya masyaallah bagus bener,5,Positive
"Siip barang baru sampe dg selamat! Produk sesuai dgn iklan,smg awet dan ga slip sewaktu dipake dijalan yg licin! Mksh seller n Toped  😊",siip barang baru sampe dg selamat produk sesuai dgn iklan smg awet dan ga slip sewaktu dipake dijalan yg licin mksh seller n toped,4,Positive
Barang sdh sampai sesuai dengan oesanan. terima kasih.,barang sdh sampai sesuai dengan oesanan terima kasih,5,Positive
Beli kemarin (20-3) saat flash sale dan tiba hari ini (21-3): dari Bdg ke Jkt padahal pakai JNE Reg. Nomor dan warna sesuai pesananku. Tks.,beli kemarin saat flash sale dan tiba hari ini dari bdg ke jkt padahal pakai jne reg nomor dan warna sesuai pesananku tks,5,Positive
Warna yang di kirim tidak sesuai dengan yang dipesan / di gambar.,warna yang di kirim tidak sesuai dengan yang dipesan di gambar,3,Neutral
Puas dengan barangnya tinggal kita liat kekuatan talinya saja..,puas dengan barangnya tinggal kita liat kekuatan talinya saja,5,Positive
Kualitas bagus dan pengiriman cepat sangat rekomendasi,kualitas bagus dan pengiriman cepat sangat rekomendasi,4,Positive
Mantap lahhhhhhhhhhhhhhhhhhhhhh,mantap lahhhhhhhhhhhhhhhhhhhhhh,5,Positive
"Pelayanan toko disini Mantap, Ramah dan disiplin, produknya kelas Wahid..",pelayanan toko disini mantap ramah dan disiplin produknya kelas wahid,5,Positive
"Paket tiba dengan Slamet H+1, produk sesuai gambar, langsung di test drive :) Fast respon banget, bener2 recommended seller nih. Terima kasih banyak yak, good job..",paket tiba dengan slamet h produk sesuai gambar langsung di test drive fast respon banget bener recommended seller nih terima kasih banyak yak good job,5,Positive
Mantapppppp..............,mantapppppp,5,Positive
"Barang y sesuai,Bagus dan pengiriman y cepat banget.Thanks",barang y sesuai bagus dan pengiriman y cepat banget thanks,5,Positive
bagussssssssssssssss,bagussssssssssssssss,5,Positive
Mantab bagus sekali sandalnya,mantab bagus sekali sandalnya,5,Positive
"Responnya cepat, pengirimannya cepat, produk sesuai pesanan, anak sy suka. Moga awet. Trmksh.",responnya cepat pengirimannya cepat produk sesuai pesanan anak sy suka moga awet trmksh,5,Positive
Mantap..sesuai reques dan diskripsi,mantap sesuai reques dan diskripsi,5,Positive
"pengiriman cepat, barang sesuai dengan deskripsi",pengiriman cepat barang sesuai dengan deskripsi,5,Positive
Mantaapppppppppppppppppppppppppp,mantaapppppppppppppppppppppppppp,5,Positive
Pengiriman cepat kualitas bagus,pengiriman cepat kualitas bagus,5,Positive
Respon cepat pengiriman cepat barang sesuai thanks gan,respon cepat pengiriman cepat barang sesuai thanks gan,5,Positive
terimakasih paket sudah sampai,terimakasih paket sudah sampai,5,Positive
Terimakasih barang diterima dengan baik,terimakasih barang diterima dengan baik,4,Positive
"Alhamdulillah...barang dah nyampe, packing rapi, pengiriman sangat cepat",alhamdulillah barang dah nyampe packing rapi pengiriman sangat cepat,5,Positive
"Barang sesuai pesanan, respon cepat, mantap bos.",barang sesuai pesanan respon cepat mantap bos,5,Positive
Barangnya bagus....top deh.....,barangnya bagus top deh,5,Positive
barang sudah sampai..sesuai dengan di foto,barang sudah sampai sesuai dengan di foto,4,Positive
Produk bagus dan mudah diatur sesuai kebutuhan. Rekomended buat orang yg suka model sendal customable,produk bagus dan mudah diatur sesuai kebutuhan rekomended buat orang yg suka model sendal customable,5,Positive
"Respon penjual sangat baik, produk sesuai pesanan",respon penjual sangat baik produk sesuai pesanan,5,Positive
"Very recommended seller, harga terjangkau, kualitas bagus, seller ramah, parah bagus dah pokoknya",very recommended seller harga terjangkau kualitas bagus seller ramah parah bagus dah pokoknya,5,Positive
Bagus sesuai dengan pesanan,bagus sesuai dengan pesanan,4,Positive
"Barang sudah diterima, sudah sesuai pesanan. Seller quick response. Rekomended..",barang sudah diterima sudah sesuai pesanan seller quick response rekomended,5,Positive
"Barang sesuai perkiraan, puas bgt belanja d sini,
Terima Kasih",barang sesuai perkiraan puas bgt belanja d sini terima kasih,5,Positive
"Respon cepat, packing rapi. Ketersedian size besar diatas 43 ada. Terima kasih.",respon cepat packing rapi ketersedian size besar diatas ada terima kasih,5,Positive
Barangnya sesuai deskripsi dan kualitasnya sangat baik. Empuk dan nyaman dipakai.,barangnya sesuai deskripsi dan kualitasnya sangat baik empuk dan nyaman dipakai,5,Positive
"barang bagus, ringan di pakai..",barang bagus ringan di pakai,5,Positive
"Sdh bbrp kali beli disini, produk oke apalagi utk ukuran kaki besar tersedia. Dpt hrg flash sale pula cuma 99rb, pengiriman cpt &amp; respond penjual baik. Pertahankan &amp; tingkatkan kwalitas, utk saran tali yg menempel di sandal sebaiknya dijahit biar lbh kuat lg 👍",sdh bbrp kali beli disini produk oke apalagi utk ukuran kaki besar tersedia dpt hrg flash sale pula cuma rb pengiriman cpt amp respond penjual baik pertahankan amp tingkatkan kwalitas utk saran tali yg menempel di sandal sebaiknya dijahit biar lbh kuat lg,5,Positive
"Barang sesuai ekspektasi, kondisi bagus, sukses selalu",barang sesuai ekspektasi kondisi bagus sukses selalu,5,Positive
Produknya bagus 😀 sesuai deskripsi yg ditawarkan,produknya bagus sesuai deskripsi yg ditawarkan,5,Positive
Barang di packing dg baik. Kualitas juga bagus.,barang di packing dg baik kualitas juga bagus,5,Positive
"Terimakasih, recommended seller, fast response, sandalnya bagus....",terimakasih recommended seller fast response sandalnya bagus,5,Positive
"Barang bagus, sesuai deskripsi, bahan tali halus enak di kaki",barang bagus sesuai deskripsi bahan tali halus enak di kaki,4,Positive
"Produk bagus, hanya diprosesnya mohon dipercepat biar tambah jos pengirimannya.apalagi bisa pakai gosend",produk bagus hanya diprosesnya mohon dipercepat biar tambah jos pengirimannya apalagi bisa pakai gosend,5,Positive
Sudah sampai sesuai pesanan,sudah sampai sesuai pesanan,5,Positive
Ok pass banget. Maju terus,ok pass banget maju terus,5,Positive
"Kualitas produk sangat baik, respon penjual sangat cepat",kualitas produk sangat baik respon penjual sangat cepat,5,Positive
Barangnya sudah sampai dan pas di kaki....trimakasih,barangnya sudah sampai dan pas di kaki trimakasih,5,Positive
Pokoknya bintang 5 terus,pokoknya bintang terus,5,Positive
Trimakasih tuk seller Tokopedia produk sesuai photo,trimakasih tuk seller tokopedia produk sesuai photo,5,Positive
Mantull bener bosskuuu,mantull bener bosskuuu,5,Positive
"Kwalitas produk bagus! Packing rapih! Betul2 tidak licin, cukup empuk. 👍🏻👍🏻👍🏻",kwalitas produk bagus packing rapih betul tidak licin cukup empuk,5,Positive
Barang sesuai dengan gambar. Recommended seller,barang sesuai dengan gambar recommended seller,5,Positive
Never go wrong pakai Sabertooth ukuran kaki raksasa pun ready braaayyy,never go wrong pakai sabertooth ukuran kaki raksasa pun ready braaayyy,5,Positive
"terima kasih banyak, barang sudah sampai tujuan...!",terima kasih banyak barang sudah sampai tujuan,4,Positive
Bahan bagus sesuai dengan yang di harapkan.recomendet banget buat kamu yang suka jalan2,bahan bagus sesuai dengan yang di harapkan recomendet banget buat kamu yang suka jalan,4,Positive
"Barang sesuai gambar dan pesanan, kualitas oke, mantab gan",barang sesuai gambar dan pesanan kualitas oke mantab gan,5,Positive
Kualitas barang mantabbb,kualitas barang mantabbb,5,Positive
Barang Sesuai deskripsi,barang sesuai deskripsi,5,Positive
Barang bagus cuma lama pengiriman nya!heheheh,barang bagus cuma lama pengiriman nya heheheh,5,Positive
Never go wrong pakai Sabertooth ukuran kaki raksasa pun ready braaayyy,never go wrong pakai sabertooth ukuran kaki raksasa pun ready braaayyy,5,Positive
PAS Mantaaaaaaaappppp... TOP BGT.. Barang Berkualitas... Intinya Puaaaaaaassss... Thanks Kerjasamanya gan 😉,pas mantaaaaaaaappppp top bgt barang berkualitas intinya puaaaaaaassss thanks kerjasamanya gan,4,Positive
"Barang sesuai pesanan, siplah",barang sesuai pesanan siplah,5,Positive
Barang bagus terimakasih gan semoga awet,barang bagus terimakasih gan semoga awet,5,Positive
Barang sampe dengan selamat dan sesuai pesanan yang dipesan.,barang sampe dengan selamat dan sesuai pesanan yang dipesan,5,Positive
Produk bagus terimakasih,produk bagus terimakasih,5,Positive
Makasih banyak barang dah sampaiii,makasih banyak barang dah sampaiii,5,Positive
"Paket sdh diterima dg baik, sangat cepat. Tksh seller dan toped",paket sdh diterima dg baik sangat cepat tksh seller dan toped,4,Positive
Brg Uda diterima dan Uda digunakan,brg uda diterima dan uda digunakan,4,Positive
terimakasih sdh saya terima dengan baik,terimakasih sdh saya terima dengan baik,5,Positive
Terimakasih sdh saya terima dengan baik,terimakasih sdh saya terima dengan baik,5,Positive
Nyaman dan pas di kaki. Tq,nyaman dan pas di kaki tq,5,Positive
Keerrreennn paarraaahhhh,keerrreennn paarraaahhhh,5,Positive
"Mantap seller satu ini.
Recommended banget dah.",mantap seller satu ini recommended banget dah,5,Positive
saya senang produknya dipaketkan dengan rapi,saya senang produknya dipaketkan dengan rapi,4,Positive
Ok... Sesuai deskripsi n pengiriman juga cepat.,ok sesuai deskripsi n pengiriman juga cepat,5,Positive
Barang ny dah nyampe d rumah mudah2 awet barang ny... Respon cepat.. Sukses selalu gan. Namun sayang jne ny yg suka molor .,barang ny dah nyampe d rumah mudah awet barang ny respon cepat sukses selalu gan namun sayang jne ny yg suka molor,5,Positive
Produk bagus..........,produk bagus,5,Positive
Barang pesanan sudah sampai...sesuai pesanan...good 4 recommend...trmksh,barang pesanan sudah sampai sesuai pesanan good recommend trmksh,5,Positive
"bagus sendalnya nyaman dipake,keren² 👍👍👍",bagus sendalnya nyaman dipake keren,5,Positive
Sesuai order dan gambar... Empuk dipakainya dan size pas ama produk lain yang pernah saya pakai sebelumnya... Thanx gan,sesuai order dan gambar empuk dipakainya dan size pas ama produk lain yang pernah saya pakai sebelumnya thanx gan,5,Positive
Terimakasihhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,terimakasihhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,4,Positive
Produk bagus............,produk bagus,5,Positive
Mantaappp i...................,mantaappp i,5,Positive
Barang bagus.... Makasih y gan...,barang bagus makasih y gan,5,Positive
Terimakasihhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,terimakasihhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,4,Positive
paket sdh diterima dgn baik sesuai pesanan... produk nya bagus sesuai harapan saya... very nice... thanks gan... :),paket sdh diterima dgn baik sesuai pesanan produk nya bagus sesuai harapan saya very nice thanks gan,5,Positive
Mantap seperti gambar,mantap seperti gambar,4,Positive
Edan ahh. Bisa stylish bngt gini modelnya. Dan nyaman dipake. MantaPPP,edan ahh bisa stylish bngt gini modelnya dan nyaman dipake mantappp,5,Positive
"Barang sudah sampai, thanks gan",barang sudah sampai thanks gan,5,Positive
kualitas bagus..tapi belum sempat dicoba..moga2 awet..,kualitas bagus tapi belum sempat dicoba moga awet,5,Positive
"Barang keren sesuai deskripsi, kualitas mantap, pengiriman cepat. Recommended seller...  AAA+++",barang keren sesuai deskripsi kualitas mantap pengiriman cepat recommended seller aaa,5,Positive
thanks.sesuai gambar,thanks sesuai gambar,5,Positive
barang sesuai pesanan dan proses pengiriman cepat,barang sesuai pesanan dan proses pengiriman cepat,5,Positive
"Pesanan sdh sampai, terimakasih",pesanan sdh sampai terimakasih,5,Positive
selalu bagus dan pelayanaan yg terbaik dari toko ini sangat di recomended banget oleh saya terima kasih,selalu bagus dan pelayanaan yg terbaik dari toko ini sangat di recomended banget oleh saya terima kasih,5,Positive
Trima kasih gan...barang sudah sampe sesuai pemesanan moga tambah sukses lg,trima kasih gan barang sudah sampe sesuai pemesanan moga tambah sukses lg,5,Positive
"Barang sangat bagus sesuai harapan, respon dan pengiriman yang cepat👍",barang sangat bagus sesuai harapan respon dan pengiriman yang cepat,5,Positive
Barang bagus. Thanks sabertooth,barang bagus thanks sabertooth,5,Positive
Barang sudah di terima dan bagus trima kasih,barang sudah di terima dan bagus trima kasih,5,Positive
Barang sesuai pesanan ...bagus,barang sesuai pesanan bagus,5,Positive
"Lumayan baguslah barangnya, tq ya gan..",lumayan baguslah barangnya tq ya gan,5,Positive
Terima kasih gan. Barang sudah sampe,terima kasih gan barang sudah sampe,5,Positive
"Wih mantap ini sendal bagus bahannya , lebih bagus lagi tali punggu kaki sama belakang kaki bisa dilepas ,jadi bisa dipake buat sendal gunung dan jepit biasa tanpa riber ada talinya ,makasih yaaa ... Next order lg",wih mantap ini sendal bagus bahannya lebih bagus lagi tali punggu kaki sama belakang kaki bisa dilepas jadi bisa dipake buat sendal gunung dan jepit biasa tanpa riber ada talinya makasih yaaa next order lg,5,Positive
"Bagus barangnya, tq gan..",bagus barangnya tq gan,5,Positive
barang Ok and bagus pengiriman cepat,barang ok and bagus pengiriman cepat,5,Positive
sandalny bagus pengirimanny jg cepat..terima kasih recommended bggtttt...,sandalny bagus pengirimanny jg cepat terima kasih recommended bggtttt,4,Positive
Barang sudah sampai sesuai pesanan,barang sudah sampai sesuai pesanan,5,Positive
"Okee, seller informatif sekali, sendal empuk, worth it banget harga segini.. semoga kuat hehehe next mau nyoba spectra nya",okee seller informatif sekali sendal empuk worth it banget harga segini semoga kuat hehehe next mau nyoba spectra nya,5,Positive
"Barang bagus, pelayanan bagus, respon cepat, recommended seller....",barang bagus pelayanan bagus respon cepat recommended seller,4,Positive
Masih sesuai yang di harapkan....sering belu dimarih...barang puassss dan aweeeet....ini koleksi warna k 4,masih sesuai yang di harapkan sering belu dimarih barang puassss dan aweeeet ini koleksi warna k,5,Positive
"Barang sangat bagus sesuai harapan, respon dan pengiriman yang cepat👍",barang sangat bagus sesuai harapan respon dan pengiriman yang cepat,5,Positive
Rapi buatannya dan bagus...,rapi buatannya dan bagus,5,Positive
"Kereeenn........,...................",kereeenn,5,Positive
"Barang bagus, respon dan delivery cepat",barang bagus respon dan delivery cepat,5,Positive
"Cepet banget prosesnya,,,,recommended seller",cepet banget prosesnya recommended seller,4,Positive
